runcat,Field,t/v,Extended?,Notes
2,MAXIJ1348,0,1,very bright
4,EXO1846,1,0,
5,MAXIJ1820,1,0,
7,MAXIJ1820,0,0,
10,J1848G,0,1,possibly
12,4U1543,1,0,
14,MAXIJ1820,1,0,
14,EXO1846,0,1,
16,SAXJ1808,1,0,6dp
18,SAXJ1808,0,0,
26,EXO1846,1,0,
28,MAXIJ1820,0,0,
29,4U1543,1,0,
31,SAXJ1808,0,0,
34,4U1543,1,0,
35,MAXIJ1820,1,0,unsure
38,MAXIJ1803,1,0,
43,SAXJ1808,1,0,6dp same shape
44,4U1543,0,0,
44,EXO1846,0,0,
48,MAXIJ1820,1,0,
48,J1848G,0,0,
51,MAXIJ1803,1,0,same shape?
53,MAXIJ1348,1,0,marginal
53,4U1543,0,1,
59,EXO1846,1,1,unsure
64,4U1543,0,0,
65,SAXJ1808,0,0,same shape?
66,EXO1846,0,1,blobby
67,MAXIJ1820,1,0,
68,MAXIJ1820,1,0,
70,MAXIJ1803,1,0,
72,MAXIJ1820,0,0,
73,MAXIJ1820,1,0,
74,J1848G,0,0,noisy
76,MAXIJ1803,1,0,
76,MAXIJ1820,1,0,marginal
81,EXO1846,0,0,
82,EXO1846,1,0,too good to be true
87,EXO1846,1,0,too good to be true
88,SAXJ1808,0,1,
89,EXO1846,1,0,EXO itself
94,MAXIJ1820,0,0,
94,J1848G,1,0,Jet
97,SAXJ1808,0,0,
100,MAXIJ1348,1,0,too good to be true
108,J1848G,1,0,
112,4U1543,1,0,
113,J1848G,1,0,too good to be true
121,SAXJ1808,1,0,
121,J1848G,0,1,cool
126,SAXJ1808,0,1,
127,MAXIJ1803,1,0,
130,EXO1846,1,0,
132,MAXIJ1348,1,0,
141,MAXIJ1820,0,1,marginal?
142,MAXIJ1820,0,1,
146,4U1543,1,0,marginal
146,MAXIJ1803,1,0,
150,SAXJ1808,1,0,weird
152,EXO1846,0,0,
156,4U1543,1,0,
157,MAXIJ1820,1,0,
159,J1848G,0,0,
160,EXO1846,0,1,
161,SAXJ1808,0,1,
162,MAXIJ1820,1,0,
163,4U1543,1,0,weird
166,J1848G,0,0,
168,4U1543,0,0,
168,EXO1846,0,0,
169,SAXJ1808,0,1,cal
170,4U1543,1,0,
172,SAXJ1808,0,0,
174,J1848G,0,0,
177,J1848G,0,0,
183,MAXIJ1348,1,0,MAXIJ1348 itself
191,MAXIJ1820,1,0,Need to zoom
193,MAXIJ1820,1,0,
194,MAXIJ1803,1,0,too good to be true
194,MAXIJ1820,1,0,
205,SAXJ1808,0,0,
211,MAXIJ1820,1,0,
212,4U1543,0,1,
212,MAXIJ1820,1,0,marginal
213,MAXIJ1820,1,0,
218,MAXIJ1820,1,0,
221,4U1543,1,0,
222,MAXIJ1803,0,0,
223,MAXIJ1820,1,0,
225,SAXJ1808,0,1,
229,MAXIJ1820,1,0,MAXIJ1820 itself
229,J1848G,1,0,Jet
232,MAXIJ1803,1,0,
241,4U1543,1,0,
241,MAXIJ1820,1,0,
242,MAXIJ1803,1,0,
243,4U1543,0,1,
246,MAXIJ1820,1,0,
255,SAXJ1808,0,0,
255,MAXIJ1820,1,0,
257,MAXIJ1803,0,0,
266,MAXIJ1820,1,0,Volunteer-fave
266,J1848G,0,0,weird
272,4U1543,0,0,
274,SAXJ1808,1,0,
275,MAXIJ1803,1,0,
275,MAXIJ1820,1,0,
279,4U1543,1,0,
282,EXO1846,1,0,EXO itself
287,MAXIJ1820,0,0,
296,MAXIJ1820,1,0,
300,MAXIJ1820,1,0,
301,MAXIJ1820,1,0,
305,MAXIJ1820,0,0,
309,MAXIJ1803,1,0,MAXIJ1803 itself
310,4U1543,1,0,
310,MAXIJ1820,0,0,bright
317,MAXIJ1820,1,0,
320,MAXIJ1803,1,0,
331,SAXJ1808,0,0,
331,MAXIJ1820,1,0,
332,MAXIJ1803,1,0,
332,EXO1846,0,1,faint
337,MAXIJ1803,1,0,marginal
342,MAXIJ1820,1,0,
343,MAXIJ1803,1,0,
344,4U1543,0,1,
347,MAXIJ1803,0,0,
349,4U1543,1,0,
349,MAXIJ1820,1,0,
356,MAXIJ1820,1,0,wow!
358,4U1543,0,0,
360,EXO1846,1,0,3 datapoints?
365,MAXIJ1803,1,0,
365,SAXJ1808,0,0,cal
370,SAXJ1808,0,0,
372,4U1543,0,1,
376,MAXIJ1820,0,0,
378,MAXIJ1803,0,0,
382,MAXIJ1820,1,0,
388,MAXIJ1820,1,0,
391,SAXJ1808,0,1,
396,4U1543,1,0,too good to be true
397,MAXIJ1820,1,0,
399,MAXIJ1820,1,0,
400,4U1543,0,0,
401,MAXIJ1803,0,0,
404,SAXJ1808,0,0,cal
405,MAXIJ1820,1,0,
408,MAXIJ1803,1,0,extended?
408,MAXIJ1820,1,0,
409,MAXIJ1820,1,0,
413,MAXIJ1348,0,0,
416,MAXIJ1820,1,0,
