,Field,subject_id,workflow_id_x,task,reducer,data.stable,data.unsure,data.extended-blob,data.aggregation_version,data.transient-variable,data.artefact,Sum,transFrac,stableFrac,extendFrac,unsureFrac,arteFrac,T+U,project_id,workflow_id_y,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason,created_at,updated_at,LC,RA_x,Dec_x,Image,runcat,date_obs,medianFlux(mJy),LCurl,Imageurl,eta,V,maxFlux,medFlux,avgFlux,coord_datapoints,newSource,RA_y,RA_err,Dec_y,Dec_err,t/v,Extended?,Notes,"ML? (<2"")",ML_r (arcsec),ML Notes
1,GX339,70785323,19109,T0,question_reducer,5,0,1,3.6.0,4,0,10,0.4,0.5,0.1,0,0,0.4,15976,19109,100043,"{""LC"":""10275_ra255.424_dec-48.776_anderssontrapLC.png"",""RA"":""255.42363650582996"",""Dec"":""-48.7761763120766"",""Image"":""10275_ra255.424_dec-48.776_anderssontrapImage.png"",""runcat"":""10275"",""date_obs"":""2018-04-14T00:00:00.000"",""medianFlux(mJy)"":""13.186765984652551""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/d3290677-f777-4012-9bee-483e1ed9e157.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/decc5ef1-e7cd-4e0e-b0dc-dc997cfb842e.png""}",10,2022-02-06 11:54:35 UTC,classification_count,2021-12-03 14:10:07 UTC,2021-12-03 14:10:07 UTC,10275_ra255.424_dec-48.776_anderssontrapLC.png,255.4236365,-48.77617631,10275_ra255.424_dec-48.776_anderssontrapImage.png,10275,2018-04-14T00:00:00.000,13.18676598,https://panoptes-uploads.zooniverse.org/subject_location/d3290677-f777-4012-9bee-483e1ed9e157.png,https://panoptes-uploads.zooniverse.org/subject_location/decc5ef1-e7cd-4e0e-b0dc-dc997cfb842e.png,83.6740853,0.051987155,0.015441129,0.013186766,0.013247785,166,N,255.4235121,0.000107799,-48.77615685,0.000107799,1,0,notL,0,0,
2,GX339,70785357,19109,T0,question_reducer,0,1,0,3.6.0,8,0,9,0.888888889,0,0,0.111111111,0,1,15976,19109,100043,"{""LC"":""10264_ra255.364_dec-48.970_anderssontrapLC.png"",""RA"":""255.364464674331"",""Dec"":""-48.969510056782205"",""Image"":""10264_ra255.364_dec-48.970_anderssontrapImage.png"",""runcat"":""10264"",""date_obs"":""2018-04-14T00:00:00.000"",""medianFlux(mJy)"":""11.1975598931289""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/7aa93af7-6afa-463a-9827-2c46a36e5c39.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/0461fcf3-f6b9-491b-a32c-1fade8fad67a.png""}",10,2022-01-27 18:37:21 UTC,classification_count,2021-12-03 14:10:13 UTC,2021-12-03 14:10:13 UTC,10264_ra255.364_dec-48.970_anderssontrapLC.png,255.3644647,-48.96951006,10264_ra255.364_dec-48.970_anderssontrapImage.png,10264,2018-04-14T00:00:00.000,11.19755989,https://panoptes-uploads.zooniverse.org/subject_location/7aa93af7-6afa-463a-9827-2c46a36e5c39.png,https://panoptes-uploads.zooniverse.org/subject_location/0461fcf3-f6b9-491b-a32c-1fade8fad67a.png,395.4388962,0.109988522,0.015110651,0.01119756,0.011451884,166,N,255.364304,0.000107799,-48.96950397,0.000107799,1,0,L,0,0,
3,GX339,70785384,19109,T0,question_reducer,4,0,1,3.6.0,5,0,10,0.5,0.4,0.1,0,0,0.5,15976,19109,100043,"{""LC"":""10128_ra254.710_dec-48.877_anderssontrapLC.png"",""RA"":""254.710569933379"",""Dec"":""-48.8770969816255"",""Image"":""10128_ra254.710_dec-48.877_anderssontrapImage.png"",""runcat"":""10128"",""date_obs"":""2018-04-14T00:00:00.000"",""medianFlux(mJy)"":""4.654734610942739""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/a61e23f0-bcfc-4cb5-8a0e-a67b3908fb01.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/5182de88-356f-4017-ac0a-89eb5ac557d9.png""}",10,2022-02-12 19:16:59 UTC,classification_count,2021-12-03 14:10:17 UTC,2021-12-03 14:10:17 UTC,10128_ra254.710_dec-48.877_anderssontrapLC.png,254.7105699,-48.87709698,10128_ra254.710_dec-48.877_anderssontrapImage.png,10128,2018-04-14T00:00:00.000,4.654734611,https://panoptes-uploads.zooniverse.org/subject_location/a61e23f0-bcfc-4cb5-8a0e-a67b3908fb01.png,https://panoptes-uploads.zooniverse.org/subject_location/5182de88-356f-4017-ac0a-89eb5ac557d9.png,26.79019566,0.074819078,0.005323553,0.004654735,0.00458905,166,N,254.710365,0.000107803,-48.8770313,0.000107803,1,0,notL,0,0,
4,GX339,70785398,19109,T0,question_reducer,3,1,0,3.6.0,6,0,10,0.6,0.3,0,0.1,0,0.7,15976,19109,100043,"{""LC"":""10280_ra255.441_dec-48.675_anderssontrapLC.png"",""RA"":""255.440950878032"",""Dec"":""-48.674846254940704"",""Image"":""10280_ra255.441_dec-48.675_anderssontrapImage.png"",""runcat"":""10280"",""date_obs"":""2018-04-14T00:00:00.000"",""medianFlux(mJy)"":""0.7293357330146245""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/9b3e0dcc-b546-45df-a24c-e5c138690225.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/b05c8bea-8b95-4d0b-bc2e-5f7927cb89e9.png""}",10,2022-01-13 15:17:56 UTC,classification_count,2021-12-03 14:10:20 UTC,2021-12-03 14:10:20 UTC,10280_ra255.441_dec-48.675_anderssontrapLC.png,255.4409509,-48.67484625,10280_ra255.441_dec-48.675_anderssontrapImage.png,10280,2018-04-14T00:00:00.000,0.729335733,https://panoptes-uploads.zooniverse.org/subject_location/9b3e0dcc-b546-45df-a24c-e5c138690225.png,https://panoptes-uploads.zooniverse.org/subject_location/b05c8bea-8b95-4d0b-bc2e-5f7927cb89e9.png,1.811155389,0.112639191,0.000889097,0.000729336,0.00071728,165,N,255.4408931,0.000108265,-48.67484713,0.000108265,1,0,L,0,0,
5,GX339,70785401,19109,T0,question_reducer,2,3,1,3.6.0,4,0,10,0.4,0.2,0.1,0.3,0,0.7,15976,19109,100043,"{""LC"":""10266_ra255.369_dec-48.499_anderssontrapLC.png"",""RA"":""255.36873283314998"",""Dec"":""-48.498725418755505"",""Image"":""10266_ra255.369_dec-48.499_anderssontrapImage.png"",""runcat"":""10266"",""date_obs"":""2018-04-14T00:00:00.000"",""medianFlux(mJy)"":""0.35349005334399647""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/6eb9ad28-d8f6-4e60-9218-ad65266405b3.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/be7a8574-920d-4d41-a4e3-4b5076928ed0.png""}",10,2022-02-03 02:03:42 UTC,classification_count,2021-12-03 14:10:20 UTC,2021-12-03 14:10:20 UTC,10266_ra255.369_dec-48.499_anderssontrapLC.png,255.3687328,-48.49872542,10266_ra255.369_dec-48.499_anderssontrapImage.png,10266,2018-04-14T00:00:00.000,0.353490053,https://panoptes-uploads.zooniverse.org/subject_location/6eb9ad28-d8f6-4e60-9218-ad65266405b3.png,https://panoptes-uploads.zooniverse.org/subject_location/be7a8574-920d-4d41-a4e3-4b5076928ed0.png,0.591775062,0.137619648,0.000470802,0.00035349,0.000347558,133,N,255.3686785,0.000120991,-48.49864009,0.000120991,1,0,L,0,0,
7,GX339,70785440,19109,T0,question_reducer,1,2,2,3.6.0,5,0,10,0.5,0.1,0.2,0.2,0,0.7,15976,19109,100043,"{""LC"":""10209_ra255.156_dec-48.946_anderssontrapLC.png"",""RA"":""255.156454737656"",""Dec"":""-48.9462253003067"",""Image"":""10209_ra255.156_dec-48.946_anderssontrapImage.png"",""runcat"":""10209"",""date_obs"":""2018-04-14T00:00:00.000"",""medianFlux(mJy)"":""1.70707408893511""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/f1863315-cb34-4f89-8d47-5e0085d2f345.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/68139059-3283-485a-a60d-15961356e784.png""}",10,2022-02-25 14:47:51 UTC,classification_count,2021-12-03 14:10:28 UTC,2021-12-03 14:10:28 UTC,10209_ra255.156_dec-48.946_anderssontrapLC.png,255.1564547,-48.9462253,10209_ra255.156_dec-48.946_anderssontrapImage.png,10209,2018-04-14T00:00:00.000,1.707074089,https://panoptes-uploads.zooniverse.org/subject_location/f1863315-cb34-4f89-8d47-5e0085d2f345.png,https://panoptes-uploads.zooniverse.org/subject_location/68139059-3283-485a-a60d-15961356e784.png,6.588349439,0.093753598,0.00222055,0.001707074,0.001724409,166,N,255.1562874,0.000107826,-48.94621947,0.000107826,1,0,L,0,0,
8,GX339,70785461,19109,T0,question_reducer,0,1,0,3.6.0,9,0,10,0.9,0,0,0.1,0,1,15976,19109,100043,"{""LC"":""10341_ra255.634_dec-48.850_anderssontrapLC.png"",""RA"":""255.633905146046"",""Dec"":""-48.85023133973989"",""Image"":""10341_ra255.634_dec-48.850_anderssontrapImage.png"",""runcat"":""10341"",""date_obs"":""2018-04-14T00:00:00.000"",""medianFlux(mJy)"":""0.632375961508021""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/b1d51af1-58ef-4c40-9add-fc3997201be3.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/8445fd5d-ab8c-4246-a55c-1f4a2c249ec2.png""}",10,2022-02-24 04:12:10 UTC,classification_count,2021-12-03 14:10:33 UTC,2021-12-03 14:10:33 UTC,10341_ra255.634_dec-48.850_anderssontrapLC.png,255.6339051,-48.85023134,10341_ra255.634_dec-48.850_anderssontrapImage.png,10341,2018-04-14T00:00:00.000,0.632375962,https://panoptes-uploads.zooniverse.org/subject_location/b1d51af1-58ef-4c40-9add-fc3997201be3.png,https://panoptes-uploads.zooniverse.org/subject_location/8445fd5d-ab8c-4246-a55c-1f4a2c249ec2.png,4.338819095,0.192976704,0.000905685,0.000632376,0.000643173,166,N,255.6337783,0.000107997,-48.85026589,0.000107997,1,0,notL,0,0,
11,GX339,70785641,19109,T0,question_reducer,1,0,1,3.6.0,7,1,10,0.7,0.1,0.1,0,0.1,0.7,15976,19109,100043,"{""LC"":""10239_ra255.291_dec-48.597_anderssontrapLC.png"",""RA"":""255.291483221656"",""Dec"":""-48.597428511111005"",""Image"":""10239_ra255.291_dec-48.597_anderssontrapImage.png"",""runcat"":""10239"",""date_obs"":""2018-04-14T00:00:00.000"",""medianFlux(mJy)"":""3.9348463097443998""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/6055035e-0899-448c-b801-cf98229371e7.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/dbcedd7f-f4a9-4933-9f57-9c5bb0af5bfc.png""}",10,2022-02-28 18:51:37 UTC,classification_count,2021-12-03 14:11:31 UTC,2021-12-03 14:11:31 UTC,10239_ra255.291_dec-48.597_anderssontrapLC.png,255.2914832,-48.59742851,10239_ra255.291_dec-48.597_anderssontrapImage.png,10239,2018-04-14T00:00:00.000,3.93484631,https://panoptes-uploads.zooniverse.org/subject_location/6055035e-0899-448c-b801-cf98229371e7.png,https://panoptes-uploads.zooniverse.org/subject_location/dbcedd7f-f4a9-4933-9f57-9c5bb0af5bfc.png,100.6036152,0.153748701,0.005376131,0.003934846,0.004096347,166,N,255.2913699,0.000107804,-48.59738027,0.000107804,1,0,L,1,1.2,3 ML sources?
13,GX339,70785723,19109,T0,question_reducer,2,1,1,3.6.0,6,0,10,0.6,0.2,0.1,0.1,0,0.7,15976,19109,100043,"{""LC"":""10204_ra255.117_dec-48.429_anderssontrapLC.png"",""RA"":""255.11717471844503"",""Dec"":""-48.428619130753496"",""Image"":""10204_ra255.117_dec-48.429_anderssontrapImage.png"",""runcat"":""10204"",""date_obs"":""2018-04-14T00:00:00.000"",""medianFlux(mJy)"":""0.5881573722045025""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/212e4975-8341-4a1d-821c-7dd47d5dbdb4.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/9b15e1d7-bbb2-4560-8d7f-81b82f7f4f3a.png""}",10,2022-02-10 05:41:38 UTC,classification_count,2021-12-03 14:11:55 UTC,2021-12-03 14:11:55 UTC,10204_ra255.117_dec-48.429_anderssontrapLC.png,255.1171747,-48.42861913,10204_ra255.117_dec-48.429_anderssontrapImage.png,10204,2018-04-14T00:00:00.000,0.588157372,https://panoptes-uploads.zooniverse.org/subject_location/212e4975-8341-4a1d-821c-7dd47d5dbdb4.png,https://panoptes-uploads.zooniverse.org/subject_location/9b15e1d7-bbb2-4560-8d7f-81b82f7f4f3a.png,1.067399127,0.108998798,0.000749532,0.000588157,0.000581107,165,N,255.1170981,0.000108361,-48.42855196,0.000108361,1,0,L,0,0,
14,GX339,70785821,19109,T0,question_reducer,2,1,2,3.6.0,4,1,10,0.4,0.2,0.2,0.1,0.1,0.5,15976,19109,100043,"{""LC"":""10664_ra256.988_dec-48.972_anderssontrapLC.png"",""RA"":""256.987624347802"",""Dec"":""-48.9718643687425"",""Image"":""10664_ra256.988_dec-48.972_anderssontrapImage.png"",""runcat"":""10664"",""date_obs"":""2018-04-14T00:00:00.000"",""medianFlux(mJy)"":""8.75319429918185""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/22c22eb9-e0c5-4bbf-ae48-3172c2b0c0f6.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/650b40ab-d3c2-4b00-a6c7-383196069939.png""}",10,2022-02-09 21:39:48 UTC,classification_count,2021-12-03 14:12:26 UTC,2021-12-03 14:12:26 UTC,10664_ra256.988_dec-48.972_anderssontrapLC.png,256.9876243,-48.97186437,10664_ra256.988_dec-48.972_anderssontrapImage.png,10664,2018-04-14T00:00:00.000,8.753194299,https://panoptes-uploads.zooniverse.org/subject_location/22c22eb9-e0c5-4bbf-ae48-3172c2b0c0f6.png,https://panoptes-uploads.zooniverse.org/subject_location/650b40ab-d3c2-4b00-a6c7-383196069939.png,130.5360265,0.092226866,0.011369718,0.008753194,0.008769595,166,N,256.9877084,0.0001078,-48.97198161,0.0001078,1,0,notL,0,0,
