Image ID,Observation Date,MJD,Filter,Detection ID,Distance [arcsec],RA [deg],DEC [deg],Mag_Opt,Magerr_Opt,Flux [μJy],Fluxerr [μJy],Zero-point stdev,flags,flags_mask,class_star,number,x_pos,y_pos,xvar_pos,yvar_pos,xycov_pos,elongation,fwhm,background,mag_aper_r0.66xfwhm,mag_aper_r1.5xfwhm,mag_aper_r5xfwhm,magerr_aper_r0.66xfwhm,magerr_aper_r1.5xfwhm,magerr_aper_r5xfwhm,e_flux_opt,e_fluxerr_opt
15658,2019-06-02 23:25:37.044000,58636.97612,g,1050304337,0.0000,270.58025,-30.24048,15.944,0.0075,1521.724,10.485,0.0407,0,0,0.013,180109,255.278,5141.901,3.925e-03,3.984e-03,-1.462e-05,1.347,12.122,6.227,16.720,15.614,15.332,0.0152,0.0121,0.0302,682.427,4.702
15709,2019-06-02 23:28:55.902000,58636.97842,q,1067109788,0.1054,270.58026,-30.24050,16.067,0.0062,1358.565,7.783,0.0432,1,0,0.008,223559,253.297,5150.373,1.202e-02,1.205e-02,-8.198e-06,1.361,11.631,9.547,16.972,15.800,15.488,0.0269,0.0206,0.0513,1166.770,6.684
15760,2019-06-02 23:30:31.027000,58636.97953,r,1082728784,0.0268,270.58027,-30.24052,16.133,0.0118,1279.288,13.945,0.0555,0,0,0.001,202803,252.967,5147.610,2.779e-02,2.788e-02,-2.101e-05,1.354,11.912,5.886,16.900,15.871,15.319,0.0392,0.0344,0.0686,461.896,5.035
65753,2019-06-03 22:29:40.396000,58637.93727,q,3425600938,0.0168,270.58026,-30.24052,16.146,0.0063,1264.150,7.364,0.0683,3,0,0.013,269346,10286.380,6843.055,3.351e-03,3.387e-03,-1.062e-05,1.488,12.091,34.649,16.806,15.654,15.570,0.0148,0.0114,0.0344,858.418,5.001
65749,2019-06-03 22:31:20.039000,58637.93843,i,3424406869,0.5972,270.58046,-30.24051,16.892,0.0298,635.926,17.461,0.0601,1,0,0.062,232339,10285.366,6845.266,8.060e-02,8.109e-02,-1.758e-04,1.993,14.372,13.773,17.226,16.302,15.907,0.0671,0.0646,0.1489,116.061,3.187
65755,2019-07-09 20:57:17.746000,58673.87312,q,3426041610,0.0766,270.58025,-30.24051,16.225,0.0065,1174.667,7.000,0.0852,3,0,0.013,290075,10216.149,6817.440,3.713e-03,3.746e-03,-1.044e-05,1.427,12.518,103.364,17.052,15.744,15.456,0.0170,0.0114,0.0284,862.585,5.141
65751,2019-07-09 20:58:55.324000,58673.87425,i,3424820917,0.6954,270.58006,-30.24058,17.041,0.0272,554.268,13.862,0.0839,2,0,0.001,281904,10215.000,6818.568,5.787e-02,5.777e-02,2.740e-06,1.121,12.727,26.316,17.633,16.691,17.420,0.0748,0.0709,0.4599,108.183,2.706
65748,2019-07-15 20:23:04.940000,58679.84936,g,3424130321,0.1182,270.58026,-30.24049,16.237,0.0304,1161.832,32.506,0.0968,0,0,0.001,96366,10217.386,6835.023,2.088e-02,2.096e-02,-1.596e-05,1.390,14.050,1.609,16.856,15.630,15.543,0.0394,0.0288,0.0881,384.800,10.766
65758,2019-07-15 20:24:46.850000,58679.85054,r,3427046108,0.0289,270.58026,-30.24051,16.320,0.0409,1076.285,40.581,0.0872,0,0,0.001,176244,10216.932,6831.586,3.423e-02,3.432e-02,-3.076e-05,1.436,13.955,-1291.925,16.819,15.693,16.268,0.0549,0.0441,0.2486,267.164,10.073
65756,2019-07-15 20:26:22.379000,58679.85165,q,3426352725,0.9621,270.57996,-30.24057,16.341,0.0300,1055.473,29.143,0.0971,3,0,0.202,151651,10215.918,6837.463,2.954e-02,2.951e-02,-7.604e-06,1.274,11.855,-4317.127,16.800,15.965,16.270,0.0436,0.0458,0.2017,38517.241,1063.527
15710,2019-09-17 18:26:52.002000,58743.76866,q,1067575293,0.1388,270.58027,-30.24049,16.075,0.0061,1349.224,7.574,0.0526,1,0,0.007,231765,93.882,4972.642,1.088e-02,1.092e-02,-9.677e-06,1.405,11.522,12.704,17.042,15.840,15.585,0.0278,0.0207,0.0543,1181.351,6.632
15661,2019-09-17 18:28:26.893000,58743.76976,i,1051576465,0.6040,270.58044,-30.24050,16.982,0.0288,585.139,15.513,0.0449,0,0,0.001,247074,93.307,4975.309,1.598e-01,1.602e-01,-1.296e-04,2.563,11.345,13.890,17.607,16.538,16.534,0.1096,0.0928,0.3073,139.036,3.686
15711,2019-09-19 17:51:40.080000,58745.74421,q,1068042120,0.1580,270.58029,-30.24049,16.152,0.0099,1256.687,11.484,0.0448,0,0,0.007,213377,130.872,4941.046,1.562e-02,1.570e-02,-2.115e-05,1.446,11.876,3.625,17.007,15.838,15.429,0.0308,0.0237,0.0536,590.848,5.399
15662,2019-09-19 17:53:14.665000,58745.74531,i,1052081856,0.4069,270.58048,-30.24051,17.030,0.0535,559.971,27.616,0.0377,2,0,0.484,222369,129.098,4937.587,1.989e-01,1.996e-01,-2.632e-04,2.936,7.084,6.836,17.697,16.531,16.423,0.1383,0.1072,0.3221,67.476,3.328
15712,2020-03-28 02:37:30.765000,58936.10938,q,1068435800,0.1204,270.58029,-30.24050,15.892,0.0068,1597.254,10.039,0.0791,0,0,0.221,157416,596.211,5064.557,1.813e-02,1.819e-02,-1.155e-05,1.440,12.536,3.567,16.346,15.799,14.707,0.0237,0.0324,0.0394,1447.072,9.096
15663,2020-03-28 02:39:29.796000,58936.11076,i,1052601809,0.9611,270.58011,-30.24038,17.253,0.0417,455.896,17.498,0.0395,2,0,0.019,257794,596.105,5068.899,4.515e-02,5.889e-02,4.955e-03,1.189,10.099,11.138,17.968,16.688,16.261,0.1385,0.0968,0.2166,88.444,3.395
15713,2020-03-28 02:43:37.819000,58936.11363,q,1068826544,0.0174,270.58027,-30.24053,16.068,0.0070,1357.844,8.771,0.0552,1,0,0.009,202824,592.234,5075.266,1.291e-02,1.295e-02,-8.698e-06,1.324,11.737,7.252,16.801,15.783,15.228,0.0249,0.0221,0.0439,1120.034,7.235
15714,2020-04-29 00:03:09.004000,58968.00219,q,1069255258,0.1434,270.58031,-30.24051,16.027,0.0070,1409.599,9.104,0.0545,1,0,0.102,184938,531.376,5069.825,1.381e-02,1.387e-02,-1.391e-05,1.553,12.535,12.895,16.405,15.776,15.102,0.0230,0.0291,0.0520,1156.812,7.472
15664,2020-04-29 00:05:14.038000,58968.00363,i,1053217995,0.7584,270.58014,-30.24061,17.180,0.0372,487.415,16.690,0.0360,3,0,0.041,279678,529.396,5072.623,1.826e-01,1.826e-01,1.267e-06,1.324,6.716,8.302,17.877,16.797,16.126,0.1192,0.1001,0.1792,89.272,3.057
15715,2020-04-30 23:20:04.822000,58969.97228,q,1069666648,0.0898,270.58026,-30.24050,16.109,0.0075,1307.642,9.026,0.0510,0,0,0.010,196907,543.802,5056.862,1.352e-02,1.357e-02,-1.471e-05,1.534,11.920,8.117,16.657,15.782,15.127,0.0244,0.0247,0.0447,998.350,6.891
15665,2020-04-30 23:22:10.791000,58969.97374,i,1053807657,0.4903,270.58044,-30.24051,17.128,0.0442,511.662,20.851,0.0401,2,0,0.339,248440,542.343,5063.756,2.141e-01,2.148e-01,-1.896e-04,1.363,6.195,7.310,17.832,16.671,16.246,0.1316,0.1023,0.2298,80.797,3.293
15716,2020-05-14 22:30:18.199000,58983.93771,q,1070121938,0.0512,270.58026,-30.24051,16.131,0.0072,1280.811,8.452,0.0516,1,0,0.009,224140,507.817,5091.167,1.115e-02,1.119e-02,-8.497e-06,1.428,11.688,12.238,16.867,15.790,15.520,0.0253,0.0211,0.0545,980.310,6.469
15666,2020-05-14 22:32:23.203000,58983.93916,i,1054377211,0.6654,270.58012,-30.24059,17.160,0.0385,496.555,17.618,0.0437,2,0,0.023,263183,506.302,5104.071,1.636e-01,1.636e-01,2.375e-07,1.048,8.620,8.048,17.800,16.757,16.165,0.1190,0.1031,0.1989,94.462,3.352
15717,2020-05-16 22:22:32.421000,58985.93232,q,1070617168,0.0366,270.58026,-30.24051,16.139,0.0071,1271.344,8.277,0.0509,1,0,0.008,233224,505.855,5082.521,1.093e-02,1.097e-02,-1.166e-05,1.409,11.721,11.757,17.021,15.829,15.549,0.0270,0.0203,0.0518,949.014,6.179
15718,2020-05-23 21:48:58.202000,58992.90901,q,1071147959,0.0286,270.58026,-30.24052,16.205,0.0074,1196.684,8.111,0.0507,1,0,0.003,253731,516.060,5052.271,9.836e-03,9.870e-03,-1.021e-05,1.313,11.612,14.293,17.241,15.910,15.488,0.0293,0.0194,0.0435,837.373,5.676
15719,2020-05-30 21:35:09.005000,58999.89941,q,1071719323,0.0334,270.58025,-30.24052,16.298,0.0079,1098.599,7.985,0.0450,1,0,0.001,262727,514.691,5056.358,1.001e-02,1.005e-02,-8.200e-06,1.283,11.416,15.838,17.335,15.947,15.362,0.0305,0.0192,0.0370,774.351,5.628
15669,2020-05-30 21:37:16.009000,58999.90088,i,1056049353,0.5911,270.58011,-30.24058,17.166,0.0413,493.875,18.796,0.0402,1,0,0.488,245852,512.605,5052.799,1.791e-01,1.792e-01,2.689e-05,1.547,6.012,10.928,17.913,16.896,16.442,0.1374,0.1213,0.2660,94.371,3.592
15720,2020-06-01 21:19:48.899000,59001.88876,q,1072267716,0.0238,270.58027,-30.24051,16.183,0.0086,1221.657,9.655,0.0425,1,0,0.008,223983,515.432,5027.296,1.289e-02,1.293e-02,-1.324e-05,1.395,12.056,6.647,17.015,15.813,15.462,0.0287,0.0214,0.0513,894.132,7.067
15721,2020-06-19 20:19:01.328000,59019.84654,q,1072735443,0.0727,270.58024,-30.24051,16.115,0.0076,1300.041,9.141,0.0436,1,0,0.007,198475,490.046,5064.811,1.505e-02,1.509e-02,-9.916e-06,1.352,11.998,12.767,17.011,15.847,15.519,0.0298,0.0230,0.0564,921.941,6.483
15722,2020-07-08 19:27:51.251000,59038.81101,q,1073180063,0.0402,270.58025,-30.24052,16.229,0.0115,1170.952,12.359,0.0488,0,0,0.000,211599,470.304,5018.775,1.636e-02,1.642e-02,-1.194e-05,1.369,12.061,13.299,17.209,15.910,15.555,0.0352,0.0241,0.0574,615.225,6.493
15723,2020-07-19 18:36:46.220000,59049.77553,q,1073682745,0.0205,270.58026,-30.24052,16.219,0.0076,1181.166,8.275,0.0510,1,0,0.001,245357,484.861,5027.291,1.098e-02,1.102e-02,-9.937e-06,1.291,11.595,13.766,17.305,15.948,15.464,0.0310,0.0201,0.0424,797.781,5.589
65757,2020-07-28 18:30:47.598000,59058.77138,q,3426707391,0.0945,270.58025,-30.24050,16.275,0.0081,1122.252,8.421,0.0617,3,0,0.014,266746,10480.401,6741.797,3.262e-03,3.293e-03,-9.438e-06,1.436,12.029,103.627,17.013,15.763,15.704,0.0183,0.0129,0.0399,712.752,5.348
15725,2020-08-14 18:04:06.855000,59075.75286,q,1074240756,0.0034,270.58026,-30.24052,16.263,0.0081,1134.991,8.427,0.0465,1,0,0.002,255201,426.006,5047.929,1.116e-02,1.119e-02,-8.812e-06,1.269,11.587,9.678,17.311,15.941,15.436,0.0307,0.0197,0.0408,737.112,5.473
15675,2020-08-14 18:06:14.916000,59075.75434,i,1058459857,0.2485,270.58031,-30.24057,17.117,0.0437,516.553,20.788,0.0430,0,0,0.369,236517,424.432,5043.120,1.586e-01,1.588e-01,-8.607e-05,1.958,6.347,5.875,17.825,16.705,15.789,0.1295,0.1046,0.1496,90.610,3.646
15726,2020-08-22 18:16:09.794000,59083.76122,q,1074714469,0.1623,270.58031,-30.24050,15.922,0.0074,1553.692,10.618,0.0668,0,0,0.578,163883,404.509,4985.121,2.317e-02,2.325e-02,-1.334e-05,1.567,13.191,4.751,16.268,15.732,14.631,0.0243,0.0334,0.0404,1221.976,8.351
