,RA,DEC,Sep(arcsec),mag_q,err_mag_q
0,275.5317887,7.767851392,0,22.12942046,99
1,275.5259562,6.549152855,0,0,0
2,275.9303337,7.262992873,1.8491934,18.61541557,0.022945967
3,270.3692862,-29.51080652,0,18.95654904,0.030420537
4,275.4447735,7.451008841,0,23.06511801,99
5,275.0913894,7.185637796,1.244159581,17.51979065,0.009293526
6,275.0634083,7.475379744,1.950722426,21.16560745,0.083440326
7,284.8000157,-7.904442088,0,21.00792998,99
8,275.0375073,7.446936741,0,23.04066962,99
9,284.7833976,-8.852919251,0,21.33580321,99
10,284.9996078,-8.120274333,0,17.91938796,0.032969906
11,284.6764431,-8.695393341,1.521267288,16.52695274,0.007783788
12,275.1253348,6.57207034,0.338349099,18.51199532,0.015896261
13,275.8181734,7.100595509,0,21.97303504,99
14,274.8745939,7.784135936,0,20.1314157,0.068825899
15,274.7155137,7.064475911,0,23.1655361,99
16,274.5440739,7.78917576,0,22.16091841,99
17,274.5198467,6.958416882,0,16.5120825,0.006019665
18,274.4692416,6.77733051,0.293143321,22.02298737,0.152018562
19,275.6486528,6.797204472,1.83880809,18.09020424,0.017070848
20,275.0139354,7.749803859,0,22.06039351,99
21,275.2267019,7.282758092,0,23.29239195,99
22,284.3406655,-7.903733374,0,21.15563887,99
23,235.6279589,-47.39795639,0,20.96563452,99
24,235.8836752,-47.37779435,0,20.84968871,99
25,236.6135937,-47.32234479,0,21.02153319,99
26,236.8389448,-47.27321067,0,19.18198151,0.073517035
27,236.7007467,-47.93244527,0,21.34270781,99
28,236.7869707,-47.67150607,0,12.12259971,0.000740955
29,236.0448664,-47.55202733,0,20.94639701,99
30,237.0665765,-48.18377173,0,21.65057295,99
31,236.2709102,-47.24448582,0,21.00092238,99
32,237.7741667,-47.16641747,0,21.65052909,99
33,237.8161432,-47.73154262,0,20.19240464,0.081592879
34,237.4125165,-47.32364521,0,20.41259045,0.31457032
