,runcat,date_obs,medianFlux(mJy),eta,V,maxFlux,medFlux,avgFlux,coord_datapoints,newSource,RA_y,RA_err,Dec_y,Dec_err,Notes
1,10275,2018-04-14T00:00:00.000,13.186765984652551,83.6740852971343,0.0519871545189592,0.0154411289063171,0.0131867659846525,0.0132477853532821,166,N,255.423512061106,0.0001077991685205,-48.7761568461796,0.0001077991685205,notL
2,10264,2018-04-14T00:00:00.000,11.1975598931289,395.43889616758,0.10998852206267,0.0151106512348407,0.0111975598931289,0.0114518837441742,166,N,255.364304044732,0.0001077993663018,-48.9695039695102,0.0001077993663018,L
3,10128,2018-04-14T00:00:00.000,4.654734610942739,26.790195664913,0.0748190783039133,0.0053235528228769,0.0046547346109427,0.0045890502747348,166,N,254.710364979583,0.0001078026457395,-48.8770312993375,0.0001078026457395,notL
4,10280,2018-04-14T00:00:00.000,0.7293357330146245,1.81115538861476,0.112639191303432,0.0008890972179462,0.0007293357330146,0.0007172804531839,165,N,255.440893144665,0.0001082649529116,-48.6748471335864,0.0001082649529116,L
5,10266,2018-04-14T00:00:00.000,0.35349005334399647,0.591775061645406,0.137619647845646,0.0004708015120772,0.0003534900533439,0.0003475582947809,133,N,255.368678453935,0.0001209910294225,-48.4986400898586,0.0001209910294225,L
7,10209,2018-04-14T00:00:00.000,1.70707408893511,6.58834943910973,0.0937535979239158,0.0022205502291945,0.0017070740889351,0.0017244087705882,166,N,255.156287370618,0.0001078259583786,-48.9462194693803,0.0001078259583786,L
8,10341,2018-04-14T00:00:00.000,0.632375961508021,4.33881909505147,0.192976703938651,0.0009056845177258,0.000632375961508,0.0006431732512276,166,N,255.63377827376,0.0001079972574333,-48.8502658941732,0.0001079972574333,notL
11,10239,2018-04-14T00:00:00.000,3.9348463097443998,100.603615214841,0.15374870072888,0.0053761313198673,0.0039348463097444,0.0040963467131178,166,N,255.291369929011,0.0001078036871644,-48.5973802687535,0.0001078036871644,L
13,10204,2018-04-14T00:00:00.000,0.5881573722045025,1.06739912688236,0.108998798155059,0.0007495320640907,0.0005881573722045,0.0005811067352306,165,N,255.117098146027,0.0001083612248867,-48.4285519644168,0.0001083612248867,L
14,10664,2018-04-14T00:00:00.000,8.75319429918185,130.536026471577,0.0922268661923642,0.0113697180523727,0.0087531942991818,0.008769595494993,166,N,256.987708365578,0.0001077999352163,-48.9719816146548,0.0001077999352163,notL
16,10449,2018-04-14T00:00:00.000,0.5026456751346935,0.919738626503192,0.11171719072636,0.0006786178695684,0.0005026456751346,0.0005092573695183,165,N,255.917377424001,0.0001084031757443,-48.6695451210382,0.0001084031757443,L
17,10736,2020-02-01T00:00:00.000,2.494682257318,22427.5974879315,1.86488488562943,0.0888200892722662,0.002494682257318,0.0068953165567396,135,455.0,255.705590849129,0.0001196217639837,-48.7896389330057,0.0001196217639837,GX339 itself
20,10486,2018-04-14T00:00:00.000,3.6464603379177998,62.6464339707287,0.131949270609889,0.0047387510564829,0.0036464603379178,0.0036654997242571,166,N,255.983073038966,0.0001078048108068,-48.932251350225,0.0001078048108068,L
21,10317,2018-04-14T00:00:00.000,1.3899566296715653,3.64834226680192,0.0845722760690371,0.0017943160764091,0.0013899566296715,0.0014068034142315,166,N,255.557211684511,0.0001078364050885,-48.5603226418726,0.0001078364050885,L
22,10609,2020-03-21T00:00:00.000,0.18868797965686898,0.560084332782081,0.228447958849165,0.0003216629415102,0.0001886879796568,0.0001970591350798,8,N,256.443012233526,0.0004937347380708,-48.8061941639099,0.0004937347380708,L
26,3352,2021-02-28T07:50:08.300,0.846306367220976,7.62543472875856,0.321883585472477,0.001007330462792,0.0008463063672209,0.0007393810281937,9,1412.0,289.084003521268,0.0004645485661547,10.8364345325992,0.0004645485661547,
27,3305,2021-04-05T05:07:44.800,0.194200953367823,8.73692017810588,0.486071751096434,0.0004443762341004,0.0001942009533678,0.0002061957125677,2,1367.0,288.964441860952,0.0009965318676853,10.94027566755,0.0009965318676853,marginal
29,3169,2020-07-24T21:56:39.100,36.95582457190915,66097.2635011494,1.50966410550791,0.644528917734489,0.0369558245719092,0.0796946178932489,58,N,288.798172038308,0.0001823725934093,10.9458691609652,0.0001823725934093,GRS1915 iteslf
33,3049,2018-12-08T11:43:24.800,8.063935882344431,8002.08936706772,0.238798498850626,0.0116553221434592,0.0080639358823444,0.0080431186503195,59,N,288.400157360443,0.0001808272424003,10.3542165134763,0.0001808272424003,
