user_name,n_class,user_id
d0ct0r,8872,1611385
LizzethRuiz,6817,2379602
leticnav,5528,2384178
jesmithv,3938,2422367
Matt_Lily,3820,2428093
Kjm91,3664,2392558
assodicuori,3235,2194524
rainam23,2831,2409870
ctworek,2613,2415031
lolobaba1,1927,1061480
Karla25,1922,2417691
hermesp,1600,767062
POJ,1564,2405537
petyerakne,1479,1589510
Hemiunu74,1306,1961495
AngelinaConforti,1302,2195345
TiffanyShawDiaz,1285,2069598
greggk,1250,3414
mnowakowski,1141,2403754
rhodinium,1044,2382561
raptor197,982,1567354
i.korovinsky,980,2135902
CheezyPie,894,2030308
tjforsythe,776,2310159
Caspastro,665,2221572
7475,655,1882066
myrmecophaga,636,2412349
dtmyk,607,2428006
MaggieW789,527,2422525
Siddharth1,523,1836105
Peter_Dzwig,505,224
TheCantabrian,497,2121877
tomburgerpie,451,3664
anilahc,437,2118075
Whoandwhatitis,430,4261
Shannie82,426,2416324
Stalcom,391,462964
IWhittle110,391,2250899
HawkEye700,380,2397284
ngoyette,355,2426670
Ernest2008,332,2314255
mirussell,322,2373341
planetaryscience,320,3791
hhuseth23,314,2286284
0374849,312,2250937
trurI,312,2409964
Rusty.ang.1,295,2313047
Marianne21,282,2321127
Chaendryn,272,1006090
Stefan209,265,1987451
JessicaTeow,251,2404918
Vial-Of-Ghosts,247,2410900
Hampusosterbom,236,2415271
slavman89,223,2112347
CalvinChan,220,2432870
Jwang11,220,2406426
ladynee.s.maurin,210,2167046
thecuriousguy78,210,2336788
beyondcommunication,207,2184952
rick22,204,2408960
bpriley131,189,2392026
guitou,188,1808851
Hunter001,171,2248876
ktarkin,166,765809
JRK64,164,2411680
M3W,164,2416531
NewtonsEyelash,163,2102293
Gnash,162,1698395
Jayasree._.Mohan,153,2361172
TB69,150,2396399
Cass-9,142,2422159
heavennova,138,2365162
baasil999,134,2425342
myrikhan,134,1975
holdencasey7,133,1550409
PIYUSH_ASTROPHYSICIST,131,1677081
amepowell,126,2407063
serik11071998,122,2430663
memetical,121,502061
alyssanavarre,117,2427790
jhdavies,116,723466
KirbyBolsover,115,2402188
Nomad_Purple,115,1312868
Natasha.VB,113,1810851
Boneguy,112,2037290
Sagitariuss,111,2393760
AmateurScientist10,110,2080969
Joyce.C,102,2389654
Barbalbero,101,1856
pittendreigh,100,147490
MollyWorster,100,2403777
whelgren25,98,2432354
Sai.partha,98,2333131
JRuffner,96,2414370
CitSci1982,93,2415811
kenadee.edelman,92,2419491
RubenGonzales,92,2314642
tylerjacobs,90,2306203
