user_name,n_class,user_id
d0ct0r,8872,1611385.0
LizzethRuiz,6817,2379602.0
leticnav,5528,2384178.0
jesmithv,3938,2422367.0
Matt_Lily,3820,2428093.0
Kjm91,3664,2392558.0
assodicuori,3235,2194524.0
rainam23,2831,2409870.0
ctworek,2613,2415031.0
lolobaba1,1927,1061480.0
Karla25,1922,2417691.0
hermesp,1600,767062.0
POJ,1564,2405537.0
petyerakne,1479,1589510.0
Hemiunu74,1306,1961495.0
AngelinaConforti,1302,2195345.0
TiffanyShawDiaz,1285,2069598.0
greggk,1250,3414.0
mnowakowski,1141,2403754.0
rhodinium,1044,2382561.0
raptor197,982,1567354.0
i.korovinsky,980,2135902.0
CheezyPie,894,2030308.0
tjforsythe,776,2310159.0
Caspastro,665,2221572.0
7475,655,1882066.0
myrmecophaga,636,2412349.0
dtmyk,607,2428006.0
MaggieW789,527,2422525.0
Siddharth1,523,1836105.0
Peter_Dzwig,505,224.0
TheCantabrian,497,2121877.0
tomburgerpie,451,3664.0
anilahc,437,2118075.0
Whoandwhatitis,430,4261.0
Shannie82,426,2416324.0
Stalcom,391,462964.0
IWhittle110,391,2250899.0
HawkEye700,380,2397284.0
ngoyette,355,2426670.0
Ernest2008,332,2314255.0
mirussell,322,2373341.0
planetaryscience,320,3791.0
hhuseth23,314,2286284.0
0374849,312,2250937.0
trurI,312,2409964.0
Rusty.ang.1,295,2313047.0
Marianne21,282,2321127.0
Chaendryn,272,1006090.0
Stefan209,265,1987451.0
JessicaTeow,251,2404918.0
Vial-Of-Ghosts,247,2410900.0
Hampusosterbom,236,2415271.0
slavman89,223,2112347.0
CalvinChan,220,2432870.0
Jwang11,220,2406426.0
ladynee.s.maurin,210,2167046.0
thecuriousguy78,210,2336788.0
beyondcommunication,207,2184952.0
rick22,204,2408960.0
bpriley131,189,2392026.0
guitou,188,1808851.0
Hunter001,171,2248876.0
ktarkin,166,765809.0
JRK64,164,2411680.0
M3W,164,2416531.0
NewtonsEyelash,163,2102293.0
Gnash,162,1698395.0
Jayasree._.Mohan,153,2361172.0
TB69,150,2396399.0
Cass-9,142,2422159.0
heavennova,138,2365162.0
baasil999,134,2425342.0
myrikhan,134,1975.0
holdencasey7,133,1550409.0
PIYUSH_ASTROPHYSICIST,131,1677081.0
amepowell,126,2407063.0
serik11071998,122,2430663.0
memetical,121,502061.0
alyssanavarre,117,2427790.0
jhdavies,116,723466.0
KirbyBolsover,115,2402188.0
Nomad_Purple,115,1312868.0
not-logged-in-45c2fa80e7aa4fbc39d8,113,
Natasha.VB,113,1810851.0
Boneguy,112,2037290.0
Sagitariuss,111,2393760.0
AmateurScientist10,110,2080969.0
not-logged-in-e45abef7adfd7dbdcf12,107,
Joyce.C,102,2389654.0
Barbalbero,101,1856.0
pittendreigh,100,147490.0
MollyWorster,100,2403777.0
whelgren25,98,2432354.0
Sai.partha,98,2333131.0
JRuffner,96,2414370.0
not-logged-in-b43cb5b54d5c450f8698,96,
CitSci1982,93,2415811.0
kenadee.edelman,92,2419491.0
RubenGonzales,92,2314642.0
tylerjacobs,90,2306203.0
icecreamdoc,89,2007755.0
ajraab,89,2142685.0
RagIsADoll,86,1883420.0
not-logged-in-eae3ae9dc2d544441a48,83,
ToInfinityAndBeyond11,83,2414522.0
not-logged-in-6081347a0788fcc9d22a,82,
MarionAchard,81,2107404.0
astrosplorer006,81,1778388.0
ali.syed,79,2432693.0
F1-fan44,78,2349019.0
not-logged-in-98a82811b6c96741cb6e,78,
Paul1109,77,2410101.0
mullikai000,75,2436147.0
Aiarchaea,72,2431855.0
BryantOmar,70,1670201.0
JonathanB2005,70,2409880.0
not-logged-in-bb84787fcc3225604b0d,69,
Stanlip,69,2230149.0
MeireRuiz,67,1758352.0
Ssauer0003,65,2415809.0
JianWang,65,2406415.0
fontec,65,1631960.0
LaureenJoyce,64,2379431.0
Little_Dipper,63,2366074.0
Aldrin578,60,2380767.0
not-logged-in-f41d75efaa9d354ee30c,59,
Tyrarachsa,59,1746858.0
redgy,58,2381585.0
c19950209126.com,57,1286055.0
Coco01,57,2375485.0
goose183,56,2412157.0
PlanetSaturn,56,2293503.0
yanncelte,55,2254636.0
leonie_van_vliet,55,1621.0
aminafra,55,2431018.0
teslatesla,54,1677093.0
eyetest4me,54,2401418.0
MAKirkland,53,2435568.0
not-logged-in-4a6cb4bb6c06c9b36056,53,
not-logged-in-fff0ae87d7d2557fffe6,53,
gavinrider,52,704781.0
LaurenRhodes95,52,2390480.0
