subject_id,workflow_id,task,reducer,data.stable,data.unsure,data.extended-blob,data.aggregation_version,data.transient-variable,data.artefact
70785283,19109,T0,question_reducer,6.0,1.0,2.0,3.6.0,,
70785284,19109,T0,question_reducer,8.0,1.0,,3.6.0,1.0,
70785285,19109,T0,question_reducer,8.0,2.0,,3.6.0,,
70785286,19109,T0,question_reducer,5.0,,3.0,3.6.0,,1.0
70785287,19109,T0,question_reducer,5.0,2.0,2.0,3.6.0,,
70785288,19109,T0,question_reducer,1.0,2.0,5.0,3.6.0,1.0,1.0
70785289,19109,T0,question_reducer,5.0,,5.0,3.6.0,,
70785290,19109,T0,question_reducer,7.0,,2.0,3.6.0,,
70785291,19109,T0,question_reducer,3.0,5.0,2.0,3.6.0,,
70785292,19109,T0,question_reducer,6.0,,1.0,3.6.0,2.0,
70785293,19109,T0,question_reducer,,1.0,3.0,3.6.0,,6.0
70785294,19109,T0,question_reducer,5.0,1.0,2.0,3.6.0,1.0,
70785295,19109,T0,question_reducer,8.0,1.0,,3.6.0,1.0,
70785296,19109,T0,question_reducer,5.0,2.0,1.0,3.6.0,,
70785297,19109,T0,question_reducer,4.0,1.0,5.0,3.6.0,,
70785298,19109,T0,question_reducer,7.0,1.0,,3.6.0,2.0,
70785299,19109,T0,question_reducer,5.0,,2.0,3.6.0,3.0,
70785300,19109,T0,question_reducer,8.0,,1.0,3.6.0,,
70785301,19109,T0,question_reducer,8.0,1.0,1.0,3.6.0,,
70785302,19109,T0,question_reducer,,1.0,5.0,3.6.0,2.0,2.0
70785303,19109,T0,question_reducer,6.0,1.0,2.0,3.6.0,,1.0
70785304,19109,T0,question_reducer,3.0,,,3.6.0,1.0,6.0
70785305,19109,T0,question_reducer,7.0,1.0,2.0,3.6.0,,
70785306,19109,T0,question_reducer,6.0,1.0,1.0,3.6.0,2.0,
70785307,19109,T0,question_reducer,6.0,1.0,1.0,3.6.0,,
70785308,19109,T0,question_reducer,8.0,,1.0,3.6.0,1.0,
70785309,19109,T0,question_reducer,1.0,3.0,6.0,3.6.0,,
70785310,19109,T0,question_reducer,6.0,,,3.6.0,3.0,
70785311,19109,T0,question_reducer,3.0,,6.0,3.6.0,,1.0
70785312,19109,T0,question_reducer,6.0,2.0,,3.6.0,1.0,
