RA,DEC,Halpha,err_Halpha,Distance,xi,err_xi,sm,err_sm,m,err_m,t0,err_t0,rms1yr,err_rms1yr,theta_r,err_theta_r,nu0,fzero
255.4235121,-48.77615685,32.5625,4.46875,3.437467492,143.3799437,11.80614202,0.006617652,0.000908181,0.191060333,0.005244075,0.903429866,0.074389911,0.191060333,0.005244075,1.54E-07,7.27E-07,23.753772,1.07E-09
255.364304,-48.96950397,32.9375,4.5,3.367153536,142.8842252,11.71271053,0.006693862,0.000914531,0.191281032,0.005226654,0.891050836,0.073042496,0.191281032,0.005226654,1.55E-07,7.28E-07,23.70542805,1.09E-09
254.710365,-48.8770313,63.46875,7.5625,3.711677809,222.3614932,15.89704168,0.012898706,0.001536921,0.165061887,0.003933528,1.455899694,0.104085009,0.113374491,0.009009408,2.30E-07,9.41E-07,30.74916143,1.03E-09
255.4408931,-48.67484713,33.21875,4.53125,3.481438602,146.0319195,11.95181277,0.006751021,0.000920882,0.189896693,0.005180625,0.926006216,0.075787903,0.189896693,0.005180625,1.56E-07,7.31E-07,24.01123934,1.07E-09
255.3686785,-48.49864009,42.9375,5.5,3.608703596,173.426766,13.32886982,0.008726155,0.001117761,0.179319681,0.004593925,1.119640165,0.08605095,0.160158314,0.013138431,1.82E-07,8.01E-07,26.56667082,1.05E-09
255.1562874,-48.94621947,42.0625,5.40625,3.46652054,167.8890764,12.94716628,0.008548331,0.001098708,0.181269966,0.004659688,1.062321734,0.081923473,0.170635656,0.013959632,1.80E-07,7.93E-07,26.06433887,1.07E-09
255.6337783,-48.85026589,29.5859375,4.15625,3.314560071,132.923767,11.20392615,0.006012728,0.000844672,0.195944218,0.005505272,0.822436404,0.069321815,0.195944218,0.005505272,1.45E-07,7.02E-07,22.71893676,1.09E-09
255.2913699,-48.59738027,43.171875,5.53125,3.590739085,173.56051,13.3421101,0.008773787,0.001124112,0.179273609,0.004593764,1.117711142,0.085921764,0.160393506,0.013157875,1.82E-07,8.03E-07,26.57872062,1.05E-09
255.1170981,-48.42855196,58.9375,7.09375,3.774537836,214.4891671,15.4896209,0.011977823,0.001441657,0.167057077,0.004021416,1.416198051,0.102272629,0.117961663,0.009420246,2.20E-07,9.10E-07,30.10404866,1.03E-09
256.9877084,-48.97198161,31.3125,4.34375,2.807013856,126.5585174,10.53391283,0.006363615,0.000882777,0.199175633,0.005526031,0.720610183,0.059978933,0.199175633,0.005526031,1.50E-07,7.17E-07,22.07252306,1.19E-09
255.9173774,-48.66954512,28.703125,4.0625,3.285101985,129.9482424,11.03534469,0.005833314,0.000825619,0.197428508,0.005588614,0.800445148,0.067974664,0.197428508,0.005588614,1.43E-07,6.95E-07,22.41838463,1.10E-09
255.7055908,-48.78963893,28.6484375,4.0625,3.314044192,130.3701596,11.09230862,0.0058222,0.000825619,0.197215298,0.005593235,0.806573748,0.068625865,0.197215298,0.005593235,1.43E-07,6.95E-07,22.46117375,1.09E-09
255.983073,-48.93225135,28.1328125,4,3.145951,125.6441741,10.71865921,0.00571741,0.000812917,0.199657616,0.005677573,0.75736472,0.064610511,0.199657616,0.005677573,1.41E-07,6.90E-07,21.97857839,1.12E-09
255.5572117,-48.56032264,31.75,4.375,3.488976554,142.2766872,11.76303289,0.006452528,0.000889128,0.191552909,0.005279017,0.903170009,0.074671534,0.191552909,0.005279017,1.52E-07,7.19E-07,23.64608547,1.07E-09
256.4430122,-48.80619416,31.5703125,4.34375,3.035964132,132.2677893,10.9192121,0.00641601,0.000882777,0.19626761,0.005400881,0.783229706,0.064658609,0.19626761,0.005400881,1.51E-07,7.15E-07,22.65291918,1.14E-09
289.0840035,10.83643453,1.791503906,0.419921875,10.41088277,43.79382625,6.159066729,0.000364086,8.53E-05,0.283701982,0.013299739,0.480223498,0.067537569,0.283701982,0.013299739,2.70E-08,2.18E-07,11.82352528,6.17E-10
288.9644419,10.94027567,2.891601563,0.53125,10.40831116,58.35950984,6.433146105,0.000587658,0.000107966,0.257807841,0.009472981,0.639865224,0.070534288,0.257807841,0.009472981,3.60E-08,2.28E-07,13.99907008,6.17E-10
288.798172,10.94586916,3.155273438,0.5546875,10.41322122,61.51106333,6.488075618,0.000641244,0.000112729,0.253327452,0.00890684,0.674578538,0.071153323,0.253327452,0.00890684,3.80E-08,2.29E-07,14.43894278,6.17E-10
288.4001574,10.35421651,2.9140625,0.53515625,10.46175156,58.7814065,6.476986343,0.000592223,0.000108759,0.257189564,0.009446373,0.6461434,0.071197037,0.257189564,0.009446373,3.62E-08,2.28E-07,14.05851252,6.16E-10
282.2077963,-1.496864477,7.72265625,1.015625,11.27880035,109.5292126,8.642669515,0.00156947,0.000206405,0.209005001,0.00549735,1.250109796,0.098642961,0.167189316,0.01429204,6.49E-08,2.94E-07,20.27372122,5.93E-10
282.0983156,-1.399542476,5.8359375,0.828125,11.27685908,92.5761083,7.881982722,0.001186033,0.000168299,0.221055009,0.006273583,1.056524895,0.089953133,0.209228396,0.018886244,5.49E-08,2.68E-07,18.36428628,5.93E-10
282.2071283,-1.498915115,7.72265625,1.015625,11.27891296,109.5297595,8.642712663,0.00156947,0.000206405,0.209004653,0.005497341,1.250122278,0.098643946,0.167187368,0.014291894,6.49E-08,2.94E-07,20.27378076,5.93E-10
282.0797193,-1.679121018,4.953125,0.7421875,11.29043284,83.95011397,7.547565748,0.00100662,0.000150834,0.22838079,0.00684422,0.958657168,0.086188424,0.22838079,0.00684422,4.98E-08,2.56E-07,17.33753006,5.93E-10
271.3738103,-30.12010987,11.0859375,1.375,3.309903376,73.70714805,5.48518309,0.002252987,0.00027944,0.238504621,0.005916394,0.455726206,0.033914508,0.238504621,0.005916394,8.07E-08,3.44E-07,16.05998167,1.09E-09
270.4241909,-29.80091763,15.0625,1.7734375,4.144899713,99.13653465,7.003317759,0.00306114,0.000360414,0.216067156,0.005087889,0.685926348,0.048456003,0.216067156,0.005087889,9.70E-08,3.92E-07,19.11899775,9.78E-10
271.2248743,-29.74007238,16.59375,1.921875,3.553392716,97.28071762,6.76018571,0.003372335,0.000390581,0.217432476,0.005036572,0.623210996,0.043307884,0.217432476,0.005036572,1.03E-07,4.09E-07,18.90764774,1.06E-09
270.6871816,-30.53360997,12.2890625,1.4921875,3.570115677,81.43120346,5.932623264,0.002497497,0.000303256,0.230711751,0.00560279,0.522900112,0.038095585,0.230711751,0.00560279,8.58E-08,3.58E-07,17.02960642,1.05E-09
271.0286188,-30.29301344,14.60546875,1.7265625,3.450423049,88.79407007,6.297991087,0.002968258,0.000350888,0.224149967,0.005299507,0.560540342,0.039758039,0.224149967,0.005299507,9.52E-08,3.87E-07,17.91918242,1.07E-09
