Name,subject_id,RA_y,Dec_y,date_obs,transFrac,medianFlux(mJy),eta,V,pc_dist(arcmin),Known?
BfS 0,70785323,255.424,-48.776,14/04/2018,0.4,13.2,83.7,0.05,11.2,0
BfS 1,70785357,255.364,-48.97,14/04/2018,0.9,11.2,395.4,0.11,17.3,1
BfS 2,70785384,254.71,-48.877,14/04/2018,0.5,4.7,26.8,0.07,39.7,0
BfS 3,70785398,255.441,-48.675,14/04/2018,0.6,0.7,1.8,0.11,12.5,1
BfS 4,70785401,255.369,-48.499,14/04/2018,0.4,0.4,0.6,0.14,22,1
BfS 5,70785440,255.156,-48.946,14/04/2018,0.5,1.7,6.6,0.09,23.6,1
BfS 6,70785461,255.634,-48.85,14/04/2018,0.9,0.6,4.3,0.19,4.6,0
BfS 7,70785641,255.291,-48.597,14/04/2018,0.7,3.9,100.6,0.15,20.1,1
BfS 8,70785723,255.117,-48.429,14/04/2018,0.6,0.6,1.1,0.11,31.9,1
BfS 9,70785821,256.988,-48.972,14/04/2018,0.4,8.8,130.5,0.09,51.8,0
BfS 10,70785881,255.917,-48.67,14/04/2018,0.4,0.5,0.9,0.11,11.1,1
BfS 11,70785898,255.706,-48.79,01/02/2020,0.7,2.5,22427.6,1.86,0,1
BfS 12,70785951,255.983,-48.932,14/04/2018,0.6,3.6,62.6,0.13,13.9,1
BfS 13,70785952,255.557,-48.56,14/04/2018,0.8,1.4,3.6,0.08,15,1
BfS 14,70785973,256.443,-48.806,21/03/2020,0.5,0.2,0.6,0.23,29.2,1
BfS 15,70786097,289.084,10.836,28/02/2021,0.9,0.8,7.6,0.32,18,0
BfS 16,70786101,288.964,10.94,05/04/2021,0.4,0.2,8.7,0.49,9.8,0
BfS 17,70786128,288.798,10.946,24/07/2020,0.6,37,66097.3,1.51,0.3,1
BfS 18,70786366,288.4,10.354,08/12/2018,0.4,8.1,8002.1,0.24,42.3,0
BfS 19,70786703,282.208,-1.497,08/11/2021,0.4,4.8,37,0.46,0.3,1
BfS 20,70786771,282.098,-1.4,28/02/2021,0.7,15.2,5,0.05,8.6,0
BfS 21,70786879,282.207,-1.499,08/11/2021,0.9,15.7,984.2,0.67,0.4,1
BfS 22,70786931,282.08,-1.679,04/10/2021,0.5,80.4,12.5,0.02,13.6,0
BfS 23,70789583,271.374,-30.12,22/05/2021,0.4,9.1,23,0.02,36.4,0
BfS 24,70789643,270.424,-29.801,31/07/2021,0.6,0.5,1,0.07,17.6,0
BfS 25,70789787,271.225,-29.74,07/05/2021,0.6,1.9,2.9,0.03,24.7,0
BfS 26,70789902,270.687,-30.534,12/06/2021,0.6,2.1,2.1,0.02,42.6,0
BfS 27,70789937,271.029,-30.293,15/08/2021,0.5,127.3,99.8,0.02,31.2,0
BfS 28,70790055,270.934,-29.951,12/06/2021,0.5,1.6,2.4,0.04,11.7,0
BfS 29,70790141,270.681,-29.466,12/06/2021,0.4,2,3.8,0.03,22,0
BfS 30,70790174,270.699,-29.561,07/05/2021,0.8,2.4,3.5,0.03,16.2,0
BfS 31,70790384,271.383,-30.411,12/06/2021,0.4,6.2,20.9,0.03,47.7,0
BfS 32,70790438,271.424,-30.144,07/05/2021,0.5,8,11.9,0.02,39.3,0
BfS 33,70790547,270.539,-29.637,19/06/2021,0.7,1.9,8.5,0.05,16.2,0
BfS 34,70790666,270.559,-29.467,05/09/2021,0.4,3,1.8,0.02,24,0
BfS 35,70790672,271.167,-29.189,19/06/2021,0.5,6.2,36.7,0.04,43.7,0
BfS 36,70790754,270.762,-29.83,15/05/2021,0.4,0.1,13026.9,2.38,0.2,1
BfS 37,70790813,270.399,-29.923,12/07/2021,0.4,1,2.2,0.05,19.7,0
BfS 38,70790848,270.833,-29.289,23/10/2021,0.5,0.8,2.4,0.07,32.5,0
BfS 39,70790883,271.545,-30.141,27/05/2021,0.7,2.1,4.5,0.03,44.9,0
BfS 40,70790918,270.65,-29.852,05/06/2021,0.5,2.8,14.3,0.05,6,0
BfS 41,70790962,270.488,-30.022,05/09/2021,0.5,0.3,6.6,0.28,18.4,0
BfS 42,70790975,270.723,-29.525,14/11/2021,0.8,1.7,3.5,0.04,18.2,0
BfS 43,70791011,270.369,-29.511,15/08/2021,0.4,2.5,4.1,0.03,27.9,0
BfS 44,70791023,270.899,-29.293,15/05/2021,0.4,1.5,3.4,0.04,32.8,0
BfS 45,70791355,272.603,-36.434,31/08/2019,0.5,2.3,6.4,0.04,40.3,0
BfS 46,70791434,272.517,-37.488,16/08/2019,0.5,14.9,64.9,0.03,36.1,0
BfS 47,70791686,273.023,-36.568,23/08/2019,0.4,17.7,200.6,0.06,50.1,0
BfS 48,70791761,271.248,-37.247,31/08/2019,0.4,3,9.9,0.05,44.5,0
BfS 49,70791852,272.86,-37.199,31/08/2019,0.4,2.1,6.2,0.04,38,0
BfS 50,70792117,272.207,-37.403,31/08/2019,0.4,2.7,1.5,0.02,25.8,0
BfS 51,70792231,237.067,-48.184,31/07/2021,0.5,1,10.4,0.1,32.6,0
BfS 52,70792375,235.628,-47.398,17/10/2021,0.4,0.9,3.3,0.07,49.7,0
BfS 53,70792445,236.614,-47.322,31/10/2021,0.4,20.4,27.5,0.02,22.2,0
BfS 54,70792463,236.839,-47.273,17/10/2021,0.4,0.3,1.8,0.18,24.1,0
