runcat,eta,V,maxFlux,medFlux,avgFlux,coord_datapoints,newSource,RA,RA_err,Dec,Dec_err
10098,1.20889964425683,0.194157092450313,0.00055578698036854,0.000374451791523215,0.000371317830269021,61,N,254.34525029929,0.000178480134231299,-48.3469486615142,0.000178480134231299
10099,0.858663124548351,0.297527546584383,0.000482039669254568,0.000198350810033201,0.000201619825705919,1,N,254.392219068902,0.00139263322145636,-48.1279389156387,0.00139263322145636
10100,2.83399250154519,0.230961809629627,0.00121658701592435,0.000577832177490935,0.000594826195928269,140,N,254.38685360939,0.000119033858656845,-48.2967790565941,0.000119033858656845
10101,40.9615510619057,0.153595585479086,0.00577382427940428,0.00346251294318786,0.00346129317473547,166,N,254.402898812304,0.000107825336123934,-48.3016055288349,0.000107825336123934
10102,257.798836355359,0.0796082486314553,0.0221714343589385,0.0169958723950697,0.016933094117808,166,N,254.401915651392,0.000107799097357508,-48.7403480810875,0.000107799097357508
10103,5.12784615451449,0.2287892446666,0.00117305857087609,0.000579649204847246,0.000618354974175495,158,N,254.418878690586,0.000110767891577904,-49.4103390573136,0.000110767891577904
10104,0.737431314584764,0.148872864565053,0.000451733234677622,0.000343454423887725,0.000342198909078198,106,N,254.427282291021,0.000135478823569897,-49.1715397153805,0.000135478823569897
10105,1.19278524251278,0.0751322264089612,0.00124421214849199,0.000956890460380647,0.000957992643778618,166,N,254.449746000461,0.000107880865862969,-49.0223225246583,0.000107880865862969
10106,10.9031205306993,0.194939885720482,0.00243009891086377,0.00118189766456804,0.00124287387143078,166,N,254.461995081422,0.000107854532665782,-49.5429175483665,0.000107854532665782
10107,0.942128904757798,0.219731886849735,0.000436256138509528,0.00028060705696358,0.000282406997225619,34,N,254.511136211881,0.000239264455644307,-48.1376504588979,0.000239264455644307
10108,1.51075649859218,0.11241090580884,0.00223262101874931,0.00151631281699918,0.00152297307871646,166,N,254.499747833635,0.000108687859562047,-48.5245894662906,0.000108687859562047
10109,2.67933341431353,0.0976229996609945,0.00262701392584759,0.00198891872271196,0.00200756371821176,166,N,254.502129239504,0.000108310223813897,-48.5310323034908,0.000108310223813897
10110,0.824162619774645,0.0944040524618678,0.000928339744956255,0.000638120036965581,0.000644285221970858,166,N,254.502583117189,0.000107986266310171,-48.7351266533534,0.000107986266310171
10111,0.0824456939410476,0.0773101316185051,0.0133250232456872,0.0100486901955731,0.0101641333542067,166,N,254.504511339662,0.000109379381669661,-48.8644558533375,0.000109379381669661
10112,0.138356045932646,0.103215270491995,0.0149790139107007,0.0102831160196876,0.010475933909616,166,N,254.51599599803,0.000109255560848078,-48.8631136010876,0.000109255560848078
10113,0.777237693248288,0.156576613201754,0.000476744416173736,0.000337883592108578,0.000335391822384478,101,N,254.524217113862,0.000138803268020508,-49.312485560277,0.000138803268020508
10114,0.363377329492197,0.170732113687001,0.000341906397707914,0.00021850949541864,0.000223529077730578,7,N,254.581772998567,0.000527745791097746,-48.8876637595613,0.000527745791097746
10115,3.5208955673621,0.193580653688672,0.00121179680467765,0.000690308106075067,0.000701688572321558,162,N,254.598604591399,0.000109321257554433,-48.133253283074,0.000109321257554433
10116,0.463750340882491,0.139966071918077,0.000418190984787909,0.000308984173624926,0.000306972065635021,85,N,254.590932223048,0.000151430279369257,-48.6387275498461,0.000151430279369257
10117,0.855161986377564,0.102305539220986,0.000693402970458406,0.000552545647363583,0.000547959698101365,164,N,254.582160799828,0.000108685160541377,-49.0364273205001,0.000108685160541377
10118,0.665788786482824,0.147202377828674,0.000553545593720225,0.000369424995204848,0.000364844873772204,123,N,254.598145896749,0.0001257955070151,-48.5760268632902,0.0001257955070151
10119,4.08434686939977,0.1041378420087,0.00203333605905868,0.00135010936445416,0.00135764838317393,166,N,254.613239774271,0.000107841332913779,-48.5947591294919,0.000107841332913779
10120,0.454900492845364,0.101436825451989,0.000645090879505572,0.000439571036574741,0.000440433384168033,158,N,254.633612698128,0.000110876238018607,-48.8260118692106,0.000110876238018607
10121,0.63117776040956,0.0940062119585778,0.000826801860378398,0.000606317251999543,0.000610956971183958,165,N,254.661915354278,0.000108349322314336,-48.8338905939763,0.000108349322314336
10122,0.49072267221952,0.0854263691962331,0.000593880515872889,0.000473760177449534,0.000475794400926376,162,N,254.666416383456,0.000109422140132428,-49.2198252980507,0.000109422140132428
10123,0.299713255432302,0.19073747207247,0.000250906287231102,0.000174247982994398,0.000171838079950817,1,N,254.68878108331,0.00139386846377807,-49.104380489038,0.00139386846377807
10124,1.07585766322709,0.206041491405277,0.000522283909509048,0.000307326751654697,0.000310828233364758,42,N,254.685523860494,0.000215197683437049,-49.7734308350157,0.000215197683437049
10125,0.873884602345978,0.184475473272123,0.000718463342171654,0.000416236299805363,0.000420169425282501,96,N,254.714987087548,0.000142434471313991,-48.3560492117064,0.000142434471313991
10126,0.465901293280405,0.131223429645212,0.000395706536017228,0.000313203042610656,0.000312123264657967,87,N,254.702109548792,0.00014965361358317,-49.1142679448329,0.00014965361358317
10127,520.365668305431,0.0810260690104031,0.0388890760303948,0.0295345270670773,0.0295749210520764,166,N,254.714703677816,0.000107798928526442,-48.502508115483,0.000107798928526442
