runcat,eta,V,maxFlux,medFlux,avgFlux,coord_datapoints,newSource,RA,RA_err,Dec,Dec_err
1868,0.407758985365024,0.132558932688269,0.00669379547836248,0.004891842796578,0.00517186893528141,9,N,266.306469221354,0.000926889217717835,-31.8664691273728,0.000926889217717835
1869,1.86666782682965,0.376947429193336,0.000346448973437911,0.000174596174217939,0.000211870127908288,2,N,266.31151082013,0.00196719053237499,-32.2238108278716,0.00196719053237499
1870,1.22921208175527,0.100382804098224,0.00150341301027005,0.00120195558981805,0.00124945389931675,10,N,266.311995240271,0.000878768171853965,-32.0002989875835,0.000878768171853965
1871,5.67677752276189,0.0842059507187399,0.00783499231889605,0.00630812886881933,0.00644761260172528,10,N,266.324098686302,0.000878467992412157,-31.7464610298049,0.000878467992412157
1872,0.765012380171187,0.0976809151077499,0.006998301201072,0.00580871659438996,0.00604942771909291,10,N,266.327919923689,0.000879059538714576,-31.8577752010626,0.000879059538714576
1873,0.343963292262995,0.149071783398877,0.000319753348982417,0.000249978510624222,0.000259013119454876,4,N,266.329361758419,0.00139174716866045,-32.2336267778865,0.00139174716866045
1874,1.38464589161806,0.120576652247833,0.00103713120473386,0.000822161235319925,0.000857107558672571,10,N,266.332036332583,0.000879015588080909,-32.0690499939476,0.000879015588080909
1875,19.3518538846589,0.250487743103263,0.00446448182196735,0.00254081953208956,0.00295222310058901,10,N,266.337885750787,0.000878519410931414,-31.929260018196,0.000878519410931414
1876,1.0117616913335,0.181943987387736,0.000455712056256542,0.000343283628929025,0.000358182329725802,9,N,266.342105623741,0.000927053298601141,-32.742480485586,0.000927053298601141
1877,0.484586650085769,0.137148946166869,0.000351530154529152,0.000295775046203964,0.0002958026482949,6,N,266.351225665468,0.00113574851394901,-32.336087998101,0.00113574851394901
1878,0.648761211702724,0.139582550213013,0.000766796006199285,0.000649427818075481,0.000644177196028965,9,N,266.357866395802,0.000926441871043457,-31.9949752413569,0.000926441871043457
1879,0.912821887740343,0.107897827271242,0.000938175914962888,0.000762430538156342,0.000804040543327695,10,N,266.366266630837,0.000879466962638268,-32.4319163774442,0.000879466962638268
1880,1.27218512585084,0.219576163807455,0.000968096287141405,0.000572416903696917,0.000624166364715197,8,N,266.383635405807,0.000982620175937949,-31.9972798788442,0.000982620175937949
1881,0.530457991916195,0.148039235446879,0.000633803819935709,0.000562939086457163,0.000550310448697642,9,N,266.383853995278,0.000926561973403278,-32.0328912407977,0.000926561973403278
1882,0.818549388613059,0.152497016064769,0.000393628342859017,0.000307441802758159,0.000319744195316762,8,N,266.385501309599,0.000983333598639432,-32.1536113613125,0.000983333598639432
1883,3.27295073230098,0.287595654882187,0.000837334167543456,0.000538069243354657,0.000557188557563683,9,N,266.385704885887,0.000926803013825585,-32.0780282484742,0.000926803013825585
1884,0.899126241057751,0.249226244300079,0.000302417140296848,0.000189461016917783,0.000214713558349228,3,N,266.392572379842,0.0016066555955154,-32.2611174077314,0.0016066555955154
1885,8.2928137670924,0.220539404442927,0.00148182113015947,0.00108051179832946,0.00108600356073583,10,N,266.396548726422,0.000878801808660816,-32.124420012692,0.000878801808660816
1886,1.42884100444816,0.114349242391591,0.00148182113015947,0.00111005130004209,0.00115289588103129,10,N,266.396849385955,0.00087871815866774,-32.124703919004,0.00087871815866774
1887,0.615901475114814,0.0974558901522768,0.000760299719810931,0.000626996630941192,0.000641142618151905,10,N,266.397795834515,0.000879410715904209,-32.1050540689723,0.000879410715904209
1888,9.19434236152703,0.294353599371981,0.0022008299077531,0.00114190330468361,0.00130186759395031,10,N,266.405618895769,0.000878673411963693,-32.4119147619471,0.000878673411963693
1889,0.217433037693865,0.114718348112363,0.000337425464443893,0.000264235219963325,0.000271411230956062,6,N,266.410041299276,0.00113583321931078,-32.7872688569907,0.00113583321931078
1890,4.08513050425357,0.224003937477847,0.000988323827626885,0.000722839450009721,0.000744497569217078,10,N,266.421473943834,0.00087941257088163,-31.9333369787909,0.00087941257088163
1891,1.41759917247808,0.133853260898737,0.000988323827626885,0.000758847694916322,0.000789504254022066,10,N,266.421781954848,0.00087926087417228,-31.9336255296588,0.00087926087417228
1892,1.07174359184861,0.322690040894334,0.000363931321115721,0.000186229345585466,0.000206462261799954,1,N,266.426910845986,0.00278365437205207,-32.229136735674,0.00278365437205207
1893,1.56477900224292,0.165882156387048,0.000725011104921364,0.000536531088846916,0.000560758161602345,10,N,266.434828761203,0.000879538544044203,-32.0033284313064,0.000879538544044203
1894,6.42700964210874,0.229181334740424,0.00117934473104173,0.000858331986414038,0.000839824355027911,10,N,266.440204287767,0.000879088617235612,-32.189994888172,0.000879088617235612
1895,0.872087049610173,0.118482857321092,0.000983462302128674,0.00075760549089596,0.000778539893720463,10,N,266.436849037849,0.000879269449508272,-32.3864881183799,0.000879269449508272
1896,1.22906035089754,0.124611689654745,0.00117934473104173,0.000863867702966152,0.000905794864147259,10,N,266.440492286435,0.000878957256513775,-32.1902693065373,0.000878957256513775
1897,55.8969846006484,0.255875547284434,0.00720539626573782,0.00440632315451325,0.00491597842904563,3,N,266.445333326925,0.00160383750320019,-31.8328961765058,0.00160383750320019
1898,21.0831963959722,0.190795026971301,0.00566452348237908,0.00347214198652584,0.00378006547787832,10,N,266.444658163783,0.000878448707514368,-32.6493188128248,0.000878448707514368
