runcat,eta,V,maxFlux,medFlux,avgFlux,coord_datapoints,newSource,RA,RA_err,Dec,Dec_err
1513,0.572244386265916,0.101027135286223,0.000314580235543035,0.000257056896362374,0.000257214017991244,25,N,283.748637341201,0.000556299808628067,-8.4574641819493,0.000556299808628067
1514,0.680122532614935,0.0851581170883262,0.000370435017555311,0.000305878731004175,0.000308086212524519,25,N,283.751696123939,0.000555954858743051,-8.26575843018789,0.000555954858743051
1515,0.38036105435419,0.1129466144249,0.00024234834805013,0.000193042686969491,0.00018868472628911,20,N,283.76178544589,0.000622295325730957,-8.04839984792148,0.000622295325730957
1516,0.543030633438061,0.14148559000471,0.000237378389885472,0.00017400017341056,0.000177823629823359,20,N,283.776537590536,0.000622369165610128,-8.48049775183744,0.000622369165610128
1517,0.948067377663613,0.0471094033109445,0.000637619238498667,0.000576360373755484,0.000578418953996994,20,N,283.777317690347,0.000621271165795503,-8.05408033643292,0.000621271165795503
1518,4.35901056327753,0.0501609009211171,0.00141271351417186,0.00125282217308953,0.00125821194937286,25,N,283.784281569488,0.000555583511259643,-8.06031243801246,0.000555583511259643
1519,0.676454419678445,0.0934713982834843,0.000303403832769891,0.000265351387072972,0.00025778653717098,25,N,283.798365292181,0.000556184906387529,-8.16424330394413,0.000556184906387529
1520,0.252178362252347,0.0703921885061227,0.000271206066153517,0.000242406571286027,0.000241677902487367,25,N,283.811150247391,0.000556265744632323,-8.08024852615019,0.000556265744632323
1521,0.425615502394112,0.097681199167689,0.000250557235925813,0.000209719148520193,0.000210162086700493,24,N,283.81899948603,0.00056784215229016,-7.83003396599715,0.00056784215229016
1522,1.68616510687543,0.0728750544018125,0.00070812731494857,0.000590677953787558,0.000595507165653597,25,N,283.820843548135,0.000555666796564391,-8.62791979272817,0.000555666796564391
1523,8.448078879299,0.0446295104360433,0.00222536936137543,0.00203511392020949,0.00202994186991242,25,N,283.825081679167,0.000555566073003948,-8.1594932163656,0.000555566073003948
1524,0.590361698221301,0.0651954724114155,0.000400695849773723,0.000359071207299926,0.000359032765650411,25,N,283.826828740242,0.000555886509374785,-7.81660164702649,0.000555886509374785
1525,0.400944637472514,0.0806215755769845,0.000325988763030126,0.000278155872482315,0.000273843541429501,25,N,283.828445703621,0.000556120160540244,-7.93315218810417,0.000556120160540244
1526,0.901540454764156,0.0978301813266359,0.000387562352297179,0.00034479244103049,0.000342716238764098,25,N,283.839442444396,0.000555940644234121,-8.3244478613699,0.000555940644234121
1527,0.243985914147483,0.072177542376537,0.000268054048641734,0.000232876125538854,0.000231693518148115,25,N,283.841202564453,0.000556319793390537,-8.16518591459352,0.000556319793390537
1528,1.85095153751126,0.0305144388039295,0.00137321941776662,0.00128916638243654,0.00128652595582497,25,N,283.843423499697,0.000555580446414494,-7.96481025121023,0.000555580446414494
1529,0.359768618695939,0.0955538809550747,0.000251901393041247,0.000209511943116136,0.000210565086530237,23,N,283.86186752226,0.000580254326378536,-8.25519612714509,0.000580254326378536
1530,0.286968344732651,0.0885984710243072,0.000245763395372784,0.000201633447657415,0.000203669619336576,22,N,283.865751956118,0.000593236734915913,-8.61217687981345,0.000593236734915913
1531,2.73704892699611,0.0343641500486307,0.00191266527783389,0.00177058715458137,0.00176969622328647,25,N,283.892926894584,0.000555572642579314,-8.30895465649286,0.000555572642579314
1532,0.941511134963144,0.115556121646859,0.000299647481957654,0.000245425489441892,0.000239768887619551,24,N,283.896482315222,0.000567781191607884,-8.22929078497875,0.000567781191607884
1533,0.299111102878847,0.0993532648707495,0.000225802637991728,0.000188360965271016,0.000190765586180105,21,N,283.897056274289,0.000607274583626472,-8.48485379342336,0.000607274583626472
1534,63.5928708719278,0.0438378495980951,0.0163654227682315,0.0148473742163626,0.0148315844745064,25,N,283.896458010247,0.000555556844533842,-8.34945208752955,0.000555556844533842
