runcat,eta,V,maxFlux,medFlux,avgFlux,coord_datapoints,newSource,RA,RA_err,Dec,Dec_err
1,428.587320869943,0.248492913092632,0.00646034837039433,0.00521230208156645,0.00504846254606279,73,N,276.00878222513,0.000162563582881127,7.25103152837155,0.000162563582881127
2,6.83973209615048,0.259533070797696,0.000553723377074611,0.000440475452196933,0.000419977354101176,73,N,275.972143085948,0.000162947057969295,7.21990589615196,0.000162947057969295
3,68.3928895352657,0.237794368602354,0.00180252211479086,0.00146094661641804,0.00141950543064407,73,N,275.962423554147,0.000162726783460004,6.96722406968459,0.000162726783460004
4,32.4496625244083,0.251257159524281,0.00132244302973518,0.00104879749939177,0.0010088852148662,73,N,275.956971271107,0.000162858667177146,6.96068483480459,0.000162858667177146
5,28.5536684284557,0.30272254776184,0.00101400177687465,0.000732382255054225,0.000723204304957668,73,N,275.930333654403,0.000162721864418551,7.26299287301401,0.000162721864418551
6,71.8914328642202,0.236636928337132,0.00255938741172703,0.00219712983145632,0.00210930060437463,73,N,275.913799151842,0.000162578928451317,6.94759421927343,0.000162578928451317
7,3.19108743765082,0.284038548465412,0.000341421626852084,0.000271277241328195,0.000257489758084851,69,N,275.90499795517,0.000168245890766283,6.81658090200029,0.000168245890766283
8,3.81802305018674,0.252970680460023,0.00053172753657216,0.00044845308830887,0.000420856488792401,70,N,275.880633686694,0.000166502354431714,7.35732237363991,0.000166502354431714
9,3.55653116797611,0.270601848727786,0.000630635008288204,0.000500673036311806,0.000477483613229866,72,N,275.867609417811,0.000168515441706344,7.36365922843245,0.000168515441706344
10,1.71490810436397,0.309306988554435,0.000386990445189564,0.000282070654379721,0.000274501925982698,65,N,275.858179669906,0.000173453651303551,7.20108116138846,0.000173453651303551
11,1.21464617067195,0.209975316852224,0.000593307312887787,0.00042923153291129,0.000418523023851873,71,N,275.824839641718,0.00016561827278624,7.26530459140173,0.00016561827278624
12,3.44359363501824,0.292181531534791,0.000737678700776507,0.000432581646097179,0.00043316277258497,70,N,275.822538968928,0.000177474391764798,6.85859627000064,0.000177474391764798
13,221.372374912601,0.239880070813449,0.00608448763912983,0.00516955850669317,0.00497967034870336,73,N,275.816982635821,0.000162561953044701,6.74609219948476,0.000162561953044701
14,3.23603647075803,0.27542509532227,0.000588362165725609,0.000455806125261273,0.000423883153059767,69,N,275.8181733714,0.000168008189484436,7.10059550909056,0.000168008189484436
15,3.64355150939731,0.232707200381509,0.0007321740630368,0.000591315516422481,0.000576281872214941,73,N,275.816489363142,0.000162886399977617,6.75571566585491,0.000162886399977617
16,7.02860995838329,0.243152580922465,0.000697043269027333,0.00055044200819909,0.000532202972331863,72,N,275.815148560664,0.000164000677484464,7.45950980794258,0.000164000677484464
17,3.27877161466033,0.2914751826057,0.000324938110191502,0.000252221328317872,0.000243060820965703,67,N,275.788765001875,0.000170834109386337,7.73459230938073,0.000170834109386337
18,191.32100484481,0.241475631361828,0.00926027665364091,0.00763992176244184,0.00736306118497863,73,N,275.78395100339,0.000162597976230181,6.92260396929382,0.000162597976230181
19,1.15610025710978,0.222508833154037,0.000482222003264943,0.000355076642404161,0.000349691460409029,62,N,275.785080215467,0.000177853159196779,7.32062976639918,0.000177853159196779
20,4.85727549279792,0.232934052243819,0.000678005797817739,0.000572085724602598,0.000551419369105304,73,N,275.779124050949,0.000163052071556859,7.38154022982951,0.000163052071556859
21,1.32680374665855,0.226170386751049,0.000616124226414521,0.000501346624061466,0.000484819582907094,20,N,275.775414224808,0.000312211363989608,6.92559472293087,0.000312211363989608
22,3.55531165097886,0.241962315879031,0.00111217347017163,0.000863942541659409,0.000824332857615652,73,N,275.773809256136,0.000162989756843436,7.26595966824768,0.000162989756843436
23,2.02243826559732,0.317768621654718,0.000419889135987928,0.00029985935436764,0.000287499919640805,67,N,275.767846639665,0.000170811717513081,6.70522258640654,0.000170811717513081
24,127.357299124399,0.243289951738108,0.00712007706486125,0.0057378676049325,0.00556238213817447,73,N,275.764488211722,0.000162628329467841,6.92951277355645,0.000162628329467841
25,721.493602089249,0.238752328974283,0.0173836796361114,0.0154049928560115,0.0146393883940149,73,N,275.759063854965,0.000162559758633513,6.9790306071995,0.000162559758633513
26,6.83605595165991,0.280082763659715,0.00066607916002828,0.000523375768586507,0.000492092512020745,69,N,275.758000015074,0.000167620238912951,6.55292888380067,0.000167620238912951
27,10.2082735917534,0.241178592258933,0.000914340704620392,0.000712748341166353,0.000686975779878516,73,N,275.75095426622,0.000162766371537743,6.55170603769023,0.000162766371537743
28,2196.50198330845,0.236796005908945,0.108705622266741,0.097127071135239,0.0921524683590683,74,N,275.742299717779,0.000161474662061732,7.19582546186256,0.000161474662061732
29,4.65991942945488,0.276519731643497,0.000515357205901733,0.000402852017625923,0.000382998073243564,71,N,275.732073941732,0.000165495271152344,7.52507708708871,0.000165495271152344
30,2.62897712138282,0.276827113544688,0.00041211876726111,0.000251277858634363,0.000245313421525913,63,N,275.730205609865,0.000176270971821398,7.65620787703709,0.000176270971821398
31,2.646002867159,0.210171086746454,0.000874310803586692,0.00075033236794563,0.000716159268178871,73,N,275.729870017162,0.000163102630499479,7.0734062080593,0.000163102630499479
32,1.76131346545339,0.347523579953396,0.000641967311948051,0.000493710819341142,0.000463726254826289,59,N,275.727322840829,0.000182266163810131,7.31626309237814,0.000182266163810131
33,75.1250223417314,0.235162536109128,0.00334098750151983,0.00267001583034958,0.00254810667995654,73,N,275.721075794242,0.000162577647559199,6.73695403999127,0.000162577647559199
34,13.3527907584891,0.245903820929419,0.00123882465874495,0.00105717536766602,0.00101702615495884,73,N,275.719697205186,0.000162689553811323,7.43714709618829,0.000162689553811323
