runcat,eta,V,maxFlux,medFlux,avgFlux,coord_datapoints,newSource,RA,RA_err,Dec,Dec_err
1,0.0970625787075911,0.191760433578979,0.000317210273337497,0.000230920334749888,0.000237145137469016,4,N,273.200951803813,0.000779174834571864,-37.2315026765692,0.000779174834571864
2,0.257402181655429,0.112707066751706,0.000440973664829838,0.000398496161653412,0.00039614062960281,6,N,273.195633076187,0.000585108397303394,-37.2318050013779,0.000585108397303394
3,1.76601021876489,0.215611735950985,0.000351621445938038,0.000273346595114186,0.000274321856197964,6,N,273.165787580883,0.000595625468458676,-37.3417753196156,0.000595625468458676
4,0.0270670229599864,0.123691598387585,0.000862156118437745,0.000769716387824112,0.000759325436557147,6,N,273.159480159813,0.000628807731198319,-36.833380024913,0.000628807731198319
5,0.0567153740030872,0.114653717658892,0.00139086559846144,0.00122981795309818,0.00121018212042014,6,N,273.155359064384,0.000591948347494061,-36.8353585120861,0.000591948347494061
6,0.783145337010753,0.126663982559019,0.00029552936445542,0.00025527698589637,0.000254362459721738,5,N,273.133219668334,0.000623688888140705,-37.1833902269564,0.000623688888140705
7,1.75322631314342,0.0743183336565495,0.000765725827128609,0.000682043226199728,0.000689790444196299,6,N,273.106710481352,0.000567460055281248,-36.5552602122874,0.000567460055281248
8,0.640943038226815,0.150346433037962,0.000331047935539189,0.000312460441372362,0.000293882835120575,5,N,273.107272541472,0.000623151788331729,-36.758749556623,0.000623151788331729
9,0.0910941707899498,0.0350550413405032,0.000339614673097158,0.000323290963406149,0.000323211380159316,5,N,273.091689985881,0.000622673222983323,-37.1312853328249,0.000622673222983323
10,2.76736881792436,0.0868409485920198,0.0135194478932449,0.0123201708939406,0.0122243577442501,6,N,273.072333004407,0.000570438158923373,-37.0588164596267,0.000570438158923373
11,10.1886824557042,0.0960257595837771,0.0207220272028075,0.0185454786618549,0.018498507356256,6,N,273.071356625302,0.000568504403382214,-37.0697859446656,0.000568504403382214
12,0.850334700410036,0.183228381541517,0.000261363275788558,0.000240773750714918,0.000223724937561282,4,N,273.065186446255,0.000697526457837931,-36.9758656652479,0.000697526457837931
13,0.514397711909225,0.117706744712084,0.000227989334823557,0.000217733029157657,0.000207301389293641,4,N,273.046989660385,0.000697802593960046,-37.4781826313326,0.000697802593960046
14,420.947638944665,0.0817059599912912,0.0148263072914492,0.0136603143834096,0.0136171549914624,6,N,273.040831968743,0.000567013478583317,-37.315901086351,0.000567013478583317
15,0.382296020238425,0.129452575035345,0.00025242674387927,0.000226756970985726,0.000219469423057383,5,N,273.030737636051,0.000624120803325897,-36.454356580949,0.000624120803325897
16,200.563426870251,0.0608529360455723,0.0189167177481061,0.0177324840791671,0.0175412055964835,6,N,273.022799759046,0.000567013389308561,-36.5681426701451,0.000567013389308561
17,2.79989698081063,0.0786725517020971,0.0012351900665281,0.00119034821182004,0.00116361153186786,6,N,273.009305326098,0.000567188276951478,-36.6260540872301,0.000567188276951478
18,0.641404887329274,0.0698744109438758,0.000431229624720053,0.000383731849714189,0.000387906043460035,6,N,272.998037207634,0.000568086637143292,-37.5555673243714,0.000568086637143292
19,0.379146579581065,0.12814395366469,0.000271753104871636,0.000226940314137798,0.000230281459185736,5,N,272.983191719471,0.000624034343833748,-37.0744941027082,0.000624034343833748
20,0.141627689080628,0.101101558842778,0.000192541556946552,0.000182865350398443,0.000175770768858814,3,N,272.978611709488,0.000807496490131047,-37.169679894944,0.000807496490131047
21,0.332679518316586,0.113857962122535,0.000203701581594529,0.000171492205571164,0.000177403654473427,2,N,272.976544875648,0.00098809612795584,-37.1001079865461,0.00098809612795584
22,0.397126431679396,0.131511257081545,0.000254824886572787,0.000240833801152787,0.000228669350087332,5,N,272.960127870923,0.000623691917913548,-36.4280087954415,0.000623691917913548
23,0.134867786952341,0.0951930808180782,0.000232325574383803,0.000202167997095219,0.000201357404348806,4,N,272.96463853638,0.000698697493833698,-36.9388388899625,0.000698697493833698
